bin	completeness_checkm1	contamination_checkm1	strain_heterogeneity_checkm1	completeness_checkm2	contamination_checkm2	contigs	longest_contig	genome_size	gc	contig_n50	contig_n90	aun	n_per_100kb	cov	r_abund	bakta_cds_all	bakta_cds_hyp	bakta_cds_dens	bakta_trna_all	bakta_trna_uniq	bakta_16s	bakta_23s	bakta_5s	barrnap_16s	barrnap_23s	barrnap_5s	custom_trna_uniq	bin_status	cbin_status	gunc_css	gunc_rrs	gunc_pass	var_n	var_perc	gtdb_tax	gtdb_ref	gtdb_ani	gtdb_af	gtdb_msa	gtdb_red	gtdb_warning	rrna_tax	rrna_tophit	rrna_alnlen	wf_name	wf_read_mode	wf_binning_mode	wf_v	wf_date	accession
MFD04830-1.bin.1.104	95.21	0.52	0	91.11	1.6	20	665896	4018769	39.4	275861	104636	317582.9	0	5.9017334	0.05199238	3661	1064	86.7	34	20	1	0	0	1	0	0	18	MQ	N	0.01	0.6	True	5493	0.137	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__	N/A	N/A	N/A	82.82	0.94004	N/A	MJ034-1-barcode38-umi737bins-ubs-485 d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Terrimonas_941540;s__	97.8	1053	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977872975.1
MFD04830-1.bin.1.10470	94.12	1.34	0	95.97	3.64	6	4167751	8314593	70.77	4167751	1342943	2871056.5	0	12.183184	0.107329935	7659	2161	86.3	58	22	1	1	1	1	2	1	21	HQ	N	0.01	0.3	True	59831	0.72	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__RYN-230;s__	GCA_035642895.1	93.08	0.68	91.2	0.9808	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	G006716425 d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Actinoallomurus;s__Actinoallomurus-bryophytorum	93.4	1504	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977873495.1
MFD04830-1.bin.1.111	100	0	0	100	0.82	2	4362849	5704027	57.28	4362849	1341178	3652368.7	0	13.007552	0.11459236	4955	1314	86.6	64	22	1	1	1	1	1	1	22	HQ	N	0	0.51	True	13413	0.235	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__DATBAT01;s__	N/A	N/A	N/A	94.86	0.96089	N/A	MJ030-2-barcode50-umi52320bins-ubs-12 d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__;s__	99.2	1485	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977874055.1
MFD04830-1.bin.1.1179	96.59	1.48	0	99.96	0	6	1656484	3786554	63.81	1260771	610417	1249852.5	0	10.911468	0.09612653	3306	670	89.2	50	22	1	1	1	1	1	1	21	HQ	N	0.01	0.59	True	11029	0.291	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dokdonella_A;s__	GCA_035996605.1	86.99	0.32	97.7	0.97462	N/A	RS-GCF-014138295.1-NZ-JACGXM010000002.1 d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dokdonella_A;s__Dokdonella_A-fugitiva	96.3	1536	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977887785.1
MFD04830-1.bin.1.1239	95.73	2.91	20	92.34	1.75	6	2150113	4961563	55.68	1128987	289811	1355907.1	0	9.754731	0.08593605	4212	1292	87.8	50	22	1	1	1	1	2	1	21	HQ	N	0.02	0.43	True	4564	0.092	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__UBA11740;s__	N/A	N/A	N/A	92.53	0.97489	N/A	MJ020-1-barcode31-umi133351bins-ubs-3 d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__UBA11740;s__UBA11740-sp003168335	99.1	1528	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977876735.1
MFD04830-1.bin.1.1277	99.43	6.75	0	99.99	3.4	2	7718052	11273435	70.99	7718052	3555383	6405241.6	0	11.706645	0.10313179	9307	621	89.1	62	20	6	6	6	6	6	6	20	HQ	N	0	0.87	True	63263	0.561	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces hygroscopicus_B	GCA_002021875.1	97.91	0.835	89.83	N/A	N/A	RS-GCF-002154275.1-NZ-MUBN01000081.1 d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales_400645;f__Streptomycetaceae_400641;g__Streptomyces_400150;s__Streptomyces-violaceusniger_A	99.9	1523	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977873665.1
MFD04830-1.bin.1.1292	80.31	1.24	0	90.28	3.52	2	5450316	6718513	66.45	5450316	1268197	4660892.7	0	17.040083	0.15011767	6640	871	90.1	49	21	0	0	0	0	0	0	20	MQ	N	0	0.81	True	74641	1.111	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__	GCA_035296945.1	94.06	0.65	83.72	0.98457	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	NA	NA	NA	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977874235.1
MFD04830-1.bin.1.1317	94.87	1.71	50	95.25	0.79	3	2309573	4812515	55.76	2083561	2083561	2047003.3	0	13.479433	0.118749484	4227	1259	89	50	22	1	1	1	1	2	1	21	HQ	N	0.01	0.46	True	3563	0.074	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__UBA11740;s__	N/A	N/A	N/A	95.33	0.97556	N/A	MJ020-1-barcode31-umi133351bins-ubs-3 d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__UBA11740;s__UBA11740-sp003168335	98.8	1528	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977877225.1
MFD04830-1.bin.1.1440	97.22	6.03	0	96.25	0.36	3	3784364	5263122	57.22	3784364	703118	2929326.6	0	11.344419	0.09994069	4321	1042	87	74	22	1	1	1	1	1	1	21	HQ	N	0	0.57	True	14415	0.274	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__QHXM01;s__	N/A	N/A	N/A	93.49	0.91863	N/A	MJ034-1-barcode34-umi8269bins-ubs-51 d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__QHXM01;s__QHXM01-sp003222945	97.4	1535	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977872805.1
MFD04830-1.bin.1.15	98.78	2.3	0	92.14	3.2	13	3904461	9987800	55.51	1120566	376782	1942095.3	0	10.225793	0.09008595	7909	3978	87.7	50	22	0	1	1	0	1	1	21	MQ	N	0.02	0.39	True	8651	0.087	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__;s__	N/A	N/A	N/A	84.93	0.82621	N/A	NA	NA	NA	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977876515.1
