bin	fieldsample_barcode	Completeness_CheckM1	Contamination_CheckM1	Strain_Heterogeneity	Completeness_CheckM2	Contamination_CheckM2	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Contigs	Max_Contig_Length	N90	auN	N_per_100kb	cov	r_abund	CDS_all	CDS_hyp	bakta_tRNA_all	bakta_tRNA_uniq	bakta_16S	bakta_23S	bakta_5S	bac_16S	bac_23S	bac_5S	arc_16S	arc_23S	arc_5S	bac_trna	arc_trna	MAG_status	MAG_status2	drep_cluster	rep_status	ENA_ID	GTDB_taxonomy	GTDB_REF	GTDB_ANI	GTDB_AF	GTDB_MSA	GTDB_RED	SILVA_taxonomy	SILVA_identity	SILVA_length
MFD00008.bin.2.143	MFD00008	95.9	4.65	47.37	96.01	7.04	0.798	110843	230.7248836	7770589	58.18	105	463388	35822	166410.1	0	14.391112	0.10218947	8462	3475	60	22	1	1	1	1	1	1	1	2	1	23	22	MQ	MQ	10198_1	FALSE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__Methylocella sp003162995	GCA_003162995.1	95.24	0.672	91.38	N/A	HQ844540.1.1445 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Incertae Sedis;uncultured bacterium	98.7	1446
MFD00008.bin.2.60	MFD00008	89.59	2.3	28.57	87.17	2.55	0.822	242096	273.0742095	4611016	59.31	32	590578	52552	278249.7	0	23.590387	0.16751236	4516	1682	46	22	2	2	2	2	2	2	2	4	2	23	22	MQ	MQ	10396_1	FALSE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	N/A	N/A	N/A	87.25	0.92982	JF733443.1.1444 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhodomicrobiaceae;Rhodomicrobium;uncultured Rhodomicrobium sp.	99.4	1444
MFD00032.bin.2.3	MFD00032	93.1	5.17	21.43	98.96	7.79	0.862	121341	268.045056	3809125	50.2	52	252699	36346	124570.7	0	18.087555	0.10753972	3881	931	35	19	1	1	1	1	1	1	1	1	1	20	20	MQ	MQ	1166_1	TRUE	GCA_963696315	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylobacter;s__	N/A	N/A	N/A	81.59	0.94955	AB600418.1.1393 Bacteria;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylomonadaceae;Crenothrix;uncultured bacterium	97.5	1393
MFD00032.bin.2.32	MFD00032	69	5.31	80	65.85	3.75	0.849	54056	250.634509	2548178	46.42	60	235185	21667	76851.5	0	21.286753	0.12656058	2732	650	24	15	2	1	1	2	1	1	2	1	1	16	16	MQ	MQ	1168_1	FALSE	NA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__SXIP01;s__	N/A	N/A	N/A	57.16	0.94915	ABSP01000370.181.1695 Bacteria;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylomonadaceae;Crenothrix;freshwater sediment metagenome	98.7	1515
MFD00032.bin.2.52	MFD00032	77.61	3.09	29.41	78.98	3.15	0.84	85663	263.5195155	3480338	59.55	64	283139	24366	104899.3	0	11.867102	0.07055597	3572	1351	32	17	0	0	0	0	0	0	0	0	0	17	17	MQ	MQ	3178_0	TRUE	GCA_963719095	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__UBA6136;s__UBA6136 sp028678445	GCA_028678445.1	98.3	0.65	69.93	N/A	NA	NA	NA
MFD00032.bin.3.74	MFD00032	82.54	6.56	68.75	85	9.23	0.832	104198	239.3264637	3661713	45.82	59	274569	24747	115100	0	20.143505	0.1197634	4008	1222	33	19	1	1	1	1	1	1	1	1	1	20	20	MQ	MQ	1167_1	TRUE	GCA_963713535	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylobacter_C;s__	GCA_002862125.1	N/A	N/A	74.9	0.95792	FN824894.1.1279 Bacteria;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylomonadaceae;Crenothrix;uncultured bacterium	99.6	1279
MFD00032.bin.3.85	MFD00032	57.54	4.44	46.15	67.28	5.4	0.851	52298	232.622031	2365241	46.42	53	233262	27183	72452	0	27.172157	0.16155231	2702	741	29	19	1	1	1	1	1	1	1	1	1	20	20	MQ	MQ	1168_2	TRUE	GCA_963702395	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylobacter_C;s__	GCA_002256465.1	87.81	0.307	55.59	0.97345	ABSP01000370.181.1695 Bacteria;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylomonadaceae;Crenothrix;freshwater sediment metagenome	98.7	1515
MFD00082.bin.1.149	MFD00082	97.18	0.78	50	99.99	2.37	0.852	1355192	284.8575458	4251343	62.59	11	1617192	394747	1171195.2	0	20.552727	0.29840705	4119	1219	48	21	1	1	1	1	1	1	1	2	1	22	21	HQ	HQ	10742_1	TRUE	GCA_963699455	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__	N/A	N/A	N/A	92	0.98585	AY080914.1.1449 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Methylocystis;uncultured bacterium	98.8	1450
MFD00082.bin.1.2	MFD00082	98.6	0.63	0	96.17	0.67	0.85	3775581	282.0940014	4315749	59.42	3	3775581	426374	3348145.5	0	27.551405	0.40002155	4228	1071	61	21	2	2	2	2	2	2	2	4	2	22	21	HQ	HQ	10745_1	TRUE	GCA_963697595	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__	N/A	N/A	N/A	92.77	0.97956	AEVM02000006.31074.32539 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Methylocystis;Methylocystis sp. ATCC 49242	99.3	1468
MFD00082.bin.3.122	MFD00082	70.73	3.66	90.48	70.18	5.52	0.839	94036	272.4785685	2331596	63.89	41	140285	26197	85113.4	0	102.18959	1.4837006	2355	765	30	17	1	1	1	1	1	1	1	2	1	17	17	MQ	MQ	10741_1	FALSE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__	GCA_003134075.1	93.75	0.745	64.81	0.99706	AY080914.1.1449 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Methylocystis;uncultured bacterium	99.7	1449
