GCA_000685825.1	JMKQ01000004.1_69	Root; Likely_mmoX; Methylocystaceae_mmoX; Methylocystis_Methylosinus_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylosinus;s__Methylosinus sp000685825
GCA_002134785.1	MBQZ01000013.1_15	Root; Likely_mmoX; Methylococcaceae_mmoX; Methylovulum_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__UBA4132;s__UBA4132 sp002134785
GCA_002299425.1	DBNW01000005.1_34	Root; Likely_mmoX; Methylococcaceae_mmoX; Methylovulum_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylovulum;s__Methylovulum sp002299425
GCA_003153975.1	PMBZ01000054.1_9	Root; Likely_mmoX; Hyphomicrobiaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__Rhodomicrobium sp003153975
GCA_003158415.1	PMJA01000119.1_16	Root; Likely_mmoX; Methylococcaceae_mmoX; Methylovulum_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylobacter_C;s__Methylobacter_C sp003158415
GCA_004299305.1	SCPZ01000115.1_47	Root; Likely_mmoX; Methylococcaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylobacter_A;s__Methylobacter_A sp004299305
GCA_012927585.1	JABBOY010000038.1_11	Root; Likely_mmoX; Methylococcaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__AVCC01;s__AVCC01 sp012927585
GCA_013138555.1	WTCN01000236.1_2	Root; Likely_mmoX; Methylococcaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methyloprofundus;s__Methyloprofundus sp013138555
GCA_013141125.1	JABFRO010000001.1_1567	Root; Likely_mmoX; Methylococcaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__JABFRO01;s__JABFRO01 sp013141125
GCA_013141125.1	JABFRO010000001.1_1568	Root; Likely_mmoX; Methylococcaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__JABFRO01;s__JABFRO01 sp013141125
GCA_013141125.1	JABFRO010000001.1_1614	Root; Likely_mmoX; Methylococcaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__JABFRO01;s__JABFRO01 sp013141125
GCA_013141125.1	JABFRO010000001.1_508	Root; Likely_mmoX; Methylococcaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__JABFRO01;s__JABFRO01 sp013141125
GCA_013141375.1	JABFRC010000256.1_6	Root; Likely_mmoX; Methylococcaceae_mmoX; Methylovulum_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__JABFRC01;s__JABFRC01 sp013141375
GCA_023145835.1	JAGLDH010000055.1_2	Root; Likely_mmoX; Methylococcaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__QPIN01;s__QPIN01 sp023145835
GCA_023229605.1	JALNYY010000171.1_3	Root; Likely_mmoX; Methylococcaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylobacter_A;s__Methylobacter_A sp023229605
GCA_024636315.1	JAGXHJ010000056.1_14	Root; Likely_mmoX; Methylococcaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__GCA-002733105;s__GCA-002733105 sp024636315
GCA_026398895.1	JAPLRZ010000054.1_29	Root; Likely_mmoX; Methylococcaceae_mmoX; Methylovulum_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__UBA4132;s__UBA4132 sp026398895
GCA_026398935.1	JAPLRW010000152.1_14	Root; Likely_mmoX; Methylococcaceae_mmoX; Methylovulum_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__SXIZ01;s__SXIZ01 sp026398935
GCA_026399025.1	JAPLRU010000049.1_139	Root; Likely_mmoX; Methylococcaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylobacter_A;s__Methylobacter_A sp026399025
GCA_026399075.1	JAPLRR010000042.1_36	Root; Likely_mmoX; Methylococcaceae_mmoX; Methylovulum_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylobacter_C;s__Methylobacter_C sp026399075
GCA_026399095.1	JAPLRP010000030.1_7	Root; Likely_mmoX; Methylococcaceae_mmoX; Methylovulum_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylobacter_C;s__Methylobacter_C sp026399095
GCA_028688525.1	JAQTYA010000071.1_8	Root; Likely_mmoX; Methylococcaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylococcus;s__Methylococcus sp028688525
GCA_028688905.1	JAQTXH010000001.1_949	Root; Likely_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acidiphilium;s__Acidiphilium sp028688905
GCA_028688905.1	JAQTXH010000003.1_34	Root; Homologous_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acidiphilium;s__Acidiphilium sp028688905
GCA_028706695.1	JAQTVU010000068.1_8	Root; Homologous_mmoX; Mycobacterium	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium sp028706695
GCA_028707085.1	JAQTUW010000003.1_147	Root; Likely_mmoX; Methylococcaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomonas;s__Methylomonas sp028707085
GCA_028711365.1	JAQTSI010000048.1_19	Root; Likely_mmoX; Methylococcaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylumidiphilus;s__Methylumidiphilus sp028711365
GCA_028712225.1	JAQTQN010000065.1_14	Root; Likely_mmoX; Methylococcaceae_mmoX; Methylovulum_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__JABFRC01;s__JABFRC01 sp028712225
GCA_028712695.1	JAQTQZ010000011.1_99	Root; Likely_mmoX; Methylococcaceae_mmoX; Methylovulum_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylovulum;s__Methylovulum sp028712695
GCA_028713055.1	JAQTOX010000011.1_18	Root; Likely_mmoX; Methylococcaceae_mmoX; Methylovulum_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__UBA10906;s__UBA10906 sp028713055
GCA_028713145.1	JAQTOT010000035.1_8	Root; Likely_mmoX; Methylococcaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__UBA10906;s__UBA10906 sp028713145
GCA_028748685.1	JAJRDU010000275.1_2	Root; Likely_mmoX; Methylococcaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomonas;s__Methylomonas sp028748685
GCA_030591965.1	JAUVAA010000037.1_7	Root; Likely_mmoX; Methylococcaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methyloprofundus;s__Methyloprofundus sp030591965
GCA_030591965.1	JAUVAA010000117.1_9	Root; Likely_mmoX; Methylococcaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methyloprofundus;s__Methyloprofundus sp030591965
GCA_030626845.1	DAOUTG010000003.1_72	Root; Likely_mmoX; Methylococcaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__WTBX01;s__WTBX01 sp030626845
GCA_030627205.1	DAOUSN010000016.1_12	Root; Likely_mmoX; Methylococcaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__WTBX01;s__WTBX01 sp030627205
GCA_030653435.1	JAURZI010000089.1_27	Root; Likely_mmoX; Methylococcaceae_mmoX; Methylovulum_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylovulum;s__Methylovulum sp030653435
GCA_030654015.1	JAURYI010000002.1_33	Root; Likely_mmoX; Methylococcaceae_mmoX; Methylovulum_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__UBA4132;s__UBA4132 sp030654015
GCA_030654015.1	JAURYI010000081.1_39	Root; Likely_mmoX; Methylococcaceae_mmoX; Methylovulum_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__UBA4132;s__UBA4132 sp030654015
GCA_030693065.1	JAUYBL010000007.1_201	Root; Likely_mmoX; Methylococcaceae_mmoX; Methylovulum_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__JABFRC01;s__JABFRC01 sp030693065
GCA_030693155.1	JAUYBJ010000078.1_31	Root; Likely_mmoX; Methylococcaceae_mmoX; Methylovulum_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__UBA4132;s__UBA4132 sp030693155
GCA_030699345.1	JAUYMX010000118.1_2	Root; Likely_mmoX; Methylococcaceae_mmoX; Methylovulum_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__JABFRC01;s__JABFRC01 sp030699345
GCA_030699385.1	JAUYMY010000042.1_39	Root; Likely_mmoX; Methylococcaceae_mmoX; Methylovulum_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylobacter_A;s__Methylobacter_A sp030699385
GCA_903834465.1	CAILJB010000124.1_7	Root; Likely_mmoX; Methylococcaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__UBA10906;s__UBA10906 sp903834465
GCA_903873045.1	CAIQND010000136.1_10	Root; Likely_mmoX; Methylococcaceae_mmoX; Methylovulum_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylobacter_C;s__Methylobacter_C sp903873045
GCA_903904275.1	CAIVBX010000072.1_3	Root; Likely_mmoX; Methylococcaceae_mmoX; Methylovulum_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__UBA10906;s__UBA10906 sp903904275
GCA_903926935.1	CAIYLB010000074.1_13	Root; Likely_mmoX; Methylococcaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylotenera;s__Methylotenera sp903926935
GCA_903928965.1	CAIYSZ010000096.1_23	Root; Likely_mmoX; Methylococcaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomonas;s__Methylomonas sp903928965
GCA_903945375.1	CAJAVP010000098.1_13	Root; Likely_mmoX; Methylococcaceae_mmoX; Methylovulum_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylovulum;s__Methylovulum sp903945375
GCA_947451235.1	CANFZA010000067.1_3	Root; Likely_mmoX; Methylococcaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylotenera;s__Methylotenera sp947451235
GCA_947504985.1	CANNKH010000029.1_13	Root; Likely_mmoX; Methylococcaceae_mmoX; Methylovulum_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylovulum;s__Methylovulum sp947504985
GCF_000424685.1	NZ_KE384224.1_556	Root; Likely_mmoX; Methylococcaceae_mmoX; Methylocaldum_methylococcus_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylococcus;s__Methylococcus capsulatus
GCF_000745215.1	NZ_JQNK01000010.1_69	Root; Likely_mmoX; Methylocystaceae_mmoX; Methylocystis_Methylosinus_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylosinus;s__Methylosinus sp000745215
GCF_001644015.1	NZ_LUUI01000131.1_6	Root; Likely_mmoX; Methylococcaceae_mmoX; Methylomonas_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomonas;s__Methylomonas lenta
GCF_001644025.1	NZ_LUUK01000164.1_23	Root; Likely_mmoX; Methylococcaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomonas;s__Methylomonas koyamae_A
GCF_001644035.1	NZ_LUUG01000018.1_5	Root; Likely_mmoX; Methylococcaceae_mmoX; Methylomonas_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomonas;s__Methylomonas methanica_A
